Kennziffer;Raumeinheit;Aggregat;Durchschnittsalter der Bevölkerung;Siedlungsdichte in km²;Studierende je 100 Einwohner 18 bis 25 Jahre;Gesamtwanderungssaldo;Haushalte mit hohem Einkommen;Erreichbarkeit von Oberzentren;Bevölkerung gesamt
"010600019";"Ellerau";"verbandsfreie Gemeinde";"44.56";"2477.14";"0.00";"13.20";"31.46";"29.59";"5911"
"010600039";"Henstedt-Ulzburg";"verbandsfreie Gemeinde";"43.23";"2342.65";"0.00";"2.13";"27.26";"33.55";"27269"
"010600044";"Kaltenkirchen. Stadt";"verbandsfreie Gemeinde";"41.33";"2211.24";"0.00";"8.91";"20.29";"26.41";"20080"
"010600063";"Norderstedt. Stadt";"verbandsfreie Gemeinde";"45.38";"2888.74";"0.00";"10.69";"25.76";"26.42";"75394"
"010600092";"Wahlstedt. Stadt";"verbandsfreie Gemeinde";"44.74";"1883.17";"0.00";"-2.38";"21.85";"25.15";"9236"
"010605005";"Bad Bramstedt-Land";"Gemeindeverband";"42.60";"701.16";"0.00";"-0.28";"23.39";"21.86";"10696"
"010605024";"Bornhöved";"Gemeindeverband";"43.71";"1017.29";"0.00";"1.39";"22.26";"23.56";"10769"
"010605034";"Itzstedt";"Gemeindeverband";"43.42";"1323.01";"0.00";"-2.60";"26.44";"36.61";"12313"
"010605043";"Kaltenkirchen-Land";"Gemeindeverband";"42.26";"799.85";"0.00";"4.61";"23.05";"26.53";"10630"
"010605048";"Kisdorf";"Gemeindeverband";"43.77";"1106.92";"0.00";"5.89";"28.16";"33.89";"10697"
"010605053";"Leezen";"Gemeindeverband";"42.66";"836.12";"0.00";"-0.82";"24.89";"31.09";"8545"
"010605063";"Boostedt-Rickling";"Gemeindeverband";"44.88";"938.43";"0.00";"8.44";"25.49";"15.25";"11613"
"010605086";"Trave-Land";"Gemeindeverband";"42.70";"792.38";"0.00";"5.01";"21.45";"25.81";"19741"
"010609014";"Buchholz (Forstgutsbez).gemfr Gebiet";"gemeindefreies Gebiet";"0.00";"0.00";"0.00";;;"24.55";"0"
"010610029";"Glückstadt. Stadt";"verbandsfreie Gemeinde";"45.61";"2168.60";"0.00";"7.03";"19.14";"51.26";"11098"
"010610046";"Itzehoe. Stadt";"verbandsfreie Gemeinde";"45.06";"2247.78";"0.00";"8.47";"19.40";"44.37";"31035"
"010610113";"Wilster. Stadt";"verbandsfreie Gemeinde";"45.32";"2584.80";"0.00";"11.41";"20.11";"49.62";"4383"
"010615104";"Breitenburg";"Gemeindeverband";"45.10";"1070.76";"0.00";"1.45";"24.11";"40.68";"8295"
"010615134";"Horst-Herzhorn";"Gemeindeverband";"44.40";"994.80";"0.00";"4.70";"23.73";"43.79";"15735"
"010615138";"Itzehoe-Land";"Gemeindeverband";"43.28";"829.26";"0.00";"3.33";"24.38";"41.93";"10504"
"010615153";"Krempermarsch";"Gemeindeverband";"43.65";"1060.45";"0.00";"0.85";"22.11";"42.13";"9358"
"010615168";"Schenefeld";"Gemeindeverband";"43.56";"707.46";"0.00";"2.01";"20.60";"42.58";"10432"
"010615179";"Wilstermarsch";"Gemeindeverband";"44.52";"467.48";"0.00";"-13.82";"23.61";"55.08";"6801"
