"plz","note","einwohner","qkm","Durchschnittsalter der Bevölkerung","Siedlungsdichte in km²","Studierende je 100 Einwohner 18 bis 25 Jahre","Gesamtwanderungssaldo","Haushalte mit hohem Einkommen","Erreichbarkeit von Oberzentren","Bevölkerung gesamt"
"24364","24364 Holzdorf",930,17.436942,43.96,803.72,0,0.64,20.07,39.7,18615
"24354","24354 Kosel, Rieseby u.a.",4004,68.517201,43.96,803.72,0,0.64,20.07,39.7,18615
"24366","24366 Loose",783,13.14263,43.96,803.72,0,0.64,20.07,39.7,18615
"24360","24360 Barkelsby",1476,19.709778,43.96,803.72,0,0.64,20.07,39.7,18615
"24398","24398 Dörphof",2560,36.413099,43.96,803.72,0,0.64,20.07,39.7,18615
"24613","24613 Aukrug, Wiedenborstel",3761,54.743501,43.45,694.97,0,5.04,21.45,32.12,23813
"25585","25585 Lütjenwestedt, Tackesdorf",630,26.961189,43.45,694.97,0,5.04,21.45,32.12,23813
"24634","24634 Padenstedt",1813,26.645086,43.45,694.97,0,5.04,21.45,32.12,23813
"24819","24819 Todenbüttel",2406,48.50974,43.45,694.97,0,5.04,21.45,32.12,23813
"24594","24594 Hohenwestedt",8166,98.631114,43.45,694.97,0,5.04,21.45,32.12,23813
"25557","25557 Hanerau-Hademarschen, Seefeld u.a.",5900,97.417633,43.45,694.97,0,5.04,21.45,32.12,23813
"25590","25590 Osterstedt",661,10.966076,43.45,694.97,0,5.04,21.45,32.12,23813
"25575","25575 Beringstedt",734,13.980619,43.45,694.97,0,5.04,21.45,32.12,23813
"24376","24376 Kappeln",10706,68.440565,48.08,1244.76,0,2.74,19.23,44.76,8764
"24837","24837 Schleswig",23698,24.994985,45.99,2135.6,0,4.99,18.44,28.39,23635
"24960","24960 Glücksburg, Munkbrarup",6988,28.834387,50.97,1413.92,0,21.43,29.4,14.75,5834
"24955","24955 Harrislee",10914,18.294389,45.87,1924.75,0,4.71,21.41,7.26,11040
"24983","24983 Handewitt",6387,64.354638,42.24,945.21,0,-3.69,24.2,9.64,10851
"24976","24976 Handewitt",4323,13.592205,42.24,945.21,0,-3.69,24.2,9.64,10851
"24963","24963 Tarp",6159,32.038883,41.83,623.82,0,7.65,18.34,20.83,8367
"24852","24852 Eggebek, Langstedt, Sollerup, Süderhackstedt",4057,52.727736,41.83,623.82,0,7.65,18.34,20.83,8367
"24997","24997 Wanderup",2186,28.178176,41.83,623.82,0,7.65,18.34,20.83,8367
"24992","24992 Jörl",1250,34.32461,41.83,623.82,0,7.65,18.34,20.83,8367
