Kennziffer,Raumeinheit,Aggregat,Gästeübernachtungen in Beherbergungsbetrieben 2013,Kinos 2017,Öffentliche Bäder 2017
09185,Neuburg-Schrobenhausen,Kreise,1.5,3.0,8.0
09186,Pfaffenhofen a.d.Ilm,Kreise,1.8,1.0,10.0
09187,Rosenheim,Kreise,8.8,4.0,21.0
09188,Starnberg,Kreise,5.2,8.0,8.0
09189,Traunstein,Kreise,15.9,3.0,32.0
09190,Weilheim-Schongau,Kreise,4.2,3.0,17.0
09261,"Landshut, Stadt",Kreise,3.6,2.0,4.0
09262,"Passau, Stadt",Kreise,8.5,3.0,2.0
09263,Straubing,Kreise,2.8,1.0,1.0
09271,Deggendorf,Kreise,3.4,2.0,11.0
09272,Freyung-Grafenau,Kreise,19.4,1.0,15.0
09273,Kelheim,Kreise,6.7,1.0,18.0
09274,Landshut,Kreise,1.5,1.0,17.0
09275,Passau,Kreise,22.9,2.0,33.0
09276,Regen,Kreise,28.2,2.0,9.0
09277,Rottal-Inn,Kreise,6.9,3.0,23.0
09278,Straubing-Bogen,Kreise,5.7,0.0,18.0
09279,Dingolfing-Landau,Kreise,1.8,2.0,16.0
09361,Amberg,Kreise,1.6,3.0,2.0
09362,"Regensburg, Stadt",Kreise,6.6,6.0,4.0
09363,Weiden i.d.OPf.,Kreise,1.8,3.0,5.0
09371,Amberg-Sulzbach,Kreise,2.5,1.0,17.0
09372,Cham,Kreise,14.3,1.0,25.0
09373,Neumarkt i.d.OPf.,Kreise,3.2,3.0,9.0
09374,Neustadt a.d.Waldnaab,Kreise,2.2,0.0,21.0
09375,Regensburg,Kreise,1.9,0.0,5.0
09376,Schwandorf,Kreise,2.4,5.0,15.0
09377,Tirschenreuth,Kreise,4.1,1.0,15.0
09461,"Bamberg, Stadt",Kreise,7.3,3.0,4.0
09462,"Bayreuth, Stadt",Kreise,4.4,1.0,4.0
09463,"Coburg, Stadt",Kreise,2.8,1.0,2.0
09464,"Hof, Stadt",Kreise,3.1,2.0,5.0
09471,Bamberg,Kreise,2.5,0.0,11.0
09472,Bayreuth,Kreise,6.7,1.0,15.0
09473,Coburg,Kreise,3.5,0.0,6.0
09474,Forchheim,Kreise,3.3,1.0,10.0
09475,Hof,Kreise,4.9,0.0,20.0
09476,Kronach,Kreise,3.0,1.0,15.0
09477,Kulmbach,Kreise,3.0,1.0,9.0
09478,Lichtenfels,Kreise,9.2,1.0,11.0
09479,Wunsiedel i.Fichtelgebirge,Kreise,4.2,2.0,13.0
09561,"Ansbach, Stadt",Kreise,2.6,3.0,1.0
09562,Erlangen,Kreise,4.7,3.0,6.0
09563,"Fürth, Stadt",Kreise,2.0,3.0,5.0
09564,Nürnberg,Kreise,5.4,8.0,13.0
09565,Schwabach,Kreise,2.0,2.0,2.0
09571,Ansbach,Kreise,6.1,1.0,51.0
09572,Erlangen-Höchstadt,Kreise,3.0,1.0,6.0
09573,Fürth,Kreise,1.2,0.0,7.0
09574,Nürnberger Land,Kreise,2.4,1.0,13.0
09575,Neustadt a.d.Aisch-Bad Windsheim,Kreise,6.0,1.0,15.0
09576,Roth,Kreise,2.5,3.0,14.0
09577,Weißenburg-Gunzenhausen,Kreise,7.9,3.0,21.0
09661,"Aschaffenburg, Stadt",Kreise,1.9,2.0,7.0
09662,"Schweinfurt, Stadt",Kreise,3.4,3.0,5.0
09663,"Würzburg, Stadt",Kreise,6.7,3.0,9.0
09671,Aschaffenburg,Kreise,2.7,0.0,22.0
09672,Bad Kissingen,Kreise,21.2,2.0,8.0
09673,Rhön-Grabfeld,Kreise,10.0,2.0,15.0
09674,Haßberge,Kreise,2.6,1.0,12.0
09675,Kitzingen,Kreise,6.8,1.0,10.0
09676,Miltenberg,Kreise,2.1,2.0,13.0
09677,Main-Spessart,Kreise,3.7,1.0,16.0
09678,Schweinfurt,Kreise,1.0,0.0,10.0
09679,Würzburg,Kreise,2.6,1.0,18.0
09761,"Augsburg, Stadt",Kreise,2.6,5.0,13.0
09762,Kaufbeuren,Kreise,2.0,2.0,3.0
09763,Kempten (Allgäu),Kreise,3.0,1.0,5.0
09764,Memmingen,Kreise,2.4,2.0,2.0
09771,Aichach-Friedberg,Kreise,1.5,1.0,9.0
09772,Augsburg,Kreise,1.8,2.0,33.0
09773,Dillingen a.d.Donau,Kreise,2.5,2.0,9.0
09774,Günzburg,Kreise,4.1,2.0,14.0
09775,Neu-Ulm,Kreise,2.4,2.0,17.0
09776,Lindau (Bodensee),Kreise,21.5,4.0,14.0
09777,Ostallgäu,Kreise,19.7,2.0,14.0
09778,Unterallgäu,Kreise,6.8,5.0,22.0
09779,Donau-Ries,Kreise,3.0,4.0,12.0
09780,Oberallgäu,Kreise,36.2,4.0,40.0
10041,Regionalverband Saarbrücken,Kreise,1.8,7.0,22.0
10042,Merzig-Wadern,Kreise,5.6,1.0,10.0
10043,Neunkirchen,Kreise,1.6,2.0,8.0
10044,Saarlouis,Kreise,1.2,4.0,14.0
10045,Saarpfalz-Kreis,Kreise,2.6,3.0,8.0
10046,St. Wendel,Kreise,6.5,2.0,9.0
11000,"Berlin, Stadt",Kreise,7.9,83.0,111.0
12051,"Brandenburg an der Havel, Stadt",Kreise,2.4,3.0,4.0
12052,"Cottbus, Stadt",Kreise,2.3,6.0,5.0
12053,"Frankfurt (Oder), Stadt",Kreise,2.9,3.0,7.0
12054,"Potsdam, Stadt",Kreise,6.2,4.0,11.0
12060,Barnim,Kreise,4.7,2.0,13.0
12061,Dahme-Spreewald,Kreise,8.5,2.0,10.0
12062,Elbe-Elster,Kreise,2.1,1.0,10.0
12063,Havelland,Kreise,1.4,3.0,10.0
12064,Märkisch-Oderland,Kreise,4.1,1.0,9.0
12065,Oberhavel,Kreise,2.2,1.0,9.0
12066,Oberspreewald-Lausitz,Kreise,5.1,1.0,12.0
12067,Oder-Spree,Kreise,6.4,4.0,13.0
12068,Ostprignitz-Ruppin,Kreise,10.3,3.0,12.0
12069,Potsdam-Mittelmark,Kreise,5.3,2.0,20.0
12070,Prignitz,Kreise,3.1,3.0,12.0
12071,Spree-Neiße,Kreise,5.6,2.0,13.0
12072,Teltow-Fläming,Kreise,3.5,1.0,10.0
12073,Uckermark,Kreise,7.1,3.0,5.0
13003,Rostock,Kreise,8.9,5.0,14.0
13004,Schwerin,Kreise,3.9,2.0,8.0
13071,Mecklenburgische Seenplatte,Kreise,13.0,10.0,170.0
13072,Landkreis Rostock,Kreise,22.1,3.0,85.0
13073,Vorpommern-Rügen,Kreise,40.6,6.0,28.0
13074,Nordwestmecklenburg,Kreise,13.1,2.0,35.0
13075,Vorpommern-Greifswald,Kreise,23.9,4.0,33.0
13076,Ludwigslust-Parchim,Kreise,5.5,2.0,76.0
14511,"Chemnitz, Stadt",Kreise,2.2,8.0,10.0
14521,Erzgebirgskreis,Kreise,4.9,6.0,37.0
14522,Mittelsachsen,Kreise,2.4,3.0,33.0
14523,Vogtlandkreis,Kreise,5.7,2.0,28.0
14524,Zwickau,Kreise,1.6,7.0,38.0
14612,"Dresden, Stadt",Kreise,7.8,13.0,17.0
14625,Bautzen,Kreise,2.5,5.0,36.0
14626,Görlitz,Kreise,4.1,9.0,41.0
14627,Meißen,Kreise,2.8,4.0,16.0
14628,Sächsische Schweiz-Osterzgebirge,Kreise,10.3,2.0,27.0
14713,"Leipzig, Stadt",Kreise,5.1,13.0,17.0
